pk,jsondata,language_pk,identifier_pk,description
1,{},1,1,
2,{},1,2,
3,{},2,3,
4,{},2,4,
5,{},3,5,
6,{},3,6,
7,{},4,7,
8,{},4,8,
9,{},5,9,
10,{},5,10,
11,{},7,11,
12,{},7,12,
13,{},8,13,
14,{},8,14,
15,{},9,15,
16,{},9,16,
17,{},10,17,
18,{},10,18,
19,{},11,19,
20,{},11,20,
21,{},12,21,
22,{},12,22,
23,{},13,23,
24,{},13,24,
25,{},14,25,
26,{},14,26,
27,{},15,27,
28,{},15,28,
29,{},16,29,
30,{},16,30,
31,{},17,31,
32,{},17,32,
33,{},18,33,
34,{},18,34,
35,{},19,35,
36,{},19,36,
37,{},20,37,
38,{},20,38,
39,{},21,39,
40,{},21,40,
41,{},22,41,
42,{},22,42,
43,{},23,43,
44,{},23,44,
45,{},24,45,
46,{},24,46,
47,{},25,47,
48,{},25,48,
49,{},26,49,
50,{},26,50,
51,{},27,51,
52,{},27,52,
53,{},28,53,
54,{},28,54,
55,{},29,55,
56,{},29,56,
57,{},30,57,
58,{},30,58,
59,{},31,59,
60,{},31,60,
61,{},32,61,
62,{},32,62,
63,{},33,63,
64,{},33,64,
65,{},34,65,
66,{},34,66,
67,{},35,67,
68,{},35,68,
69,{},36,69,
70,{},36,70,
71,{},37,71,
72,{},37,72,
73,{},38,73,
74,{},38,74,
75,{},39,75,
76,{},39,76,
77,{},40,77,
78,{},40,78,
79,{},41,79,
80,{},41,80,
81,{},42,81,
82,{},42,82,
83,{},43,83,
84,{},43,84,
85,{},44,85,
86,{},44,86,
87,{},45,87,
88,{},45,88,
89,{},46,89,
90,{},46,90,
91,{},47,91,
92,{},47,92,
93,{},48,93,
94,{},48,94,
95,{},49,95,
96,{},49,96,
97,{},50,97,
98,{},50,98,
99,{},51,99,
100,{},51,100,
101,{},52,101,
102,{},52,102,
103,{},53,103,
104,{},53,104,
105,{},54,105,
106,{},54,106,
107,{},55,107,
108,{},55,108,
109,{},56,109,
